Order_ID,Order_Date,Customer_ID,State,Customer_Segment,Product,Category,Quantity,Unit_Price_INR,Discount,Sales_INR,Cost_INR,Profit_INR,Payment_Mode
ORD1002,2025-02-22,CUST170,Haryana,Small Business,Monitor,Electronics,3,9600,0.05,27360.0,20869.69,6490.31,Net Banking
ORD1003,2025-11-05,CUST104,West Bengal,Consumer,Laptop,Electronics,1,46500,0.05,44175.0,33783.75,10391.25,Cash
ORD1004,2025-01-04,CUST121,Rajasthan,Corporate,Tablet,Electronics,4,23200,0.1,83520.0,78127.03,5392.97,Debit Card
ORD1005,2025-02-19,CUST146,Gujarat,Small Business,Keyboard,Accessories,3,2100,0.0,6300.0,4400.86,1899.14,Debit Card
ORD1006,2025-07-13,CUST111,West Bengal,Corporate,Laptop,Electronics,4,82300,0.0,329200.0,287925.94,41274.06,Cash
ORD1007,2025-04-27,CUST138,Haryana,Consumer,Printer,Office Equipment,2,21700,0.0,43400.0,29909.76,13490.24,UPI
ORD1008,2025-07-01,CUST127,Karnataka,Small Business,Tablet,Electronics,4,26200,0.1,94320.0,74673.23,19646.77,UPI
ORD1009,2025-05-19,CUST172,Maharashtra,Small Business,Keyboard,Accessories,2,4200,0.05,7980.0,6488.6,1491.4,Debit Card
ORD1010,2025-02-03,CUST128,Tamil Nadu,Small Business,Laptop,Electronics,1,56700,0.1,51030.0,43105.21,7924.79,Debit Card
ORD1011,2025-11-26,CUST159,Uttar Pradesh,Corporate,Mouse,Accessories,4,2500,0.15,8500.0,8569.37,-69.37,Credit Card
ORD1012,2025-08-08,CUST175,Rajasthan,Corporate,Mouse,Accessories,5,2800,0.1,12600.0,11611.64,988.36,Credit Card
ORD1013,2025-02-26,CUST120,Uttar Pradesh,Small Business,Keyboard,Accessories,4,4000,0.0,16000.0,13298.5,2701.5,Net Banking
ORD1014,2025-10-11,CUST102,Haryana,Small Business,Monitor,Electronics,4,18800,0.15,63920.0,59093.88,4826.12,Cash
ORD1015,2025-03-22,CUST159,Delhi,Small Business,Headphones,Accessories,3,6100,0.0,18300.0,13518.21,4781.79,Debit Card
ORD1016,2025-09-17,CUST178,Maharashtra,Consumer,Keyboard,Accessories,1,4000,0.1,3600.0,3393.34,206.66,Debit Card
ORD1017,2025-09-08,CUST103,Haryana,Corporate,Keyboard,Accessories,5,4200,0.0,21000.0,16795.57,4204.43,Debit Card
ORD1018,2025-09-06,CUST109,West Bengal,Consumer,Mouse,Accessories,2,600,0.0,1200.0,836.56,363.44,Credit Card
ORD1019,2025-11-07,CUST155,Maharashtra,Small Business,Webcam,Accessories,2,8500,0.1,15300.0,13354.09,1945.91,Credit Card
ORD1020,2025-08-20,CUST116,Maharashtra,Consumer,Headphones,Accessories,3,3700,0.15,9435.0,9545.14,-110.14,UPI
ORD1021,2025-01-04,CUST110,Delhi,Consumer,Printer,Office Equipment,5,7500,0.05,35625.0,29913.3,5711.7,UPI
ORD1022,2025-09-06,CUST128,West Bengal,Consumer,Laptop,Electronics,1,61900,0.05,58805.0,45539.55,13265.45,Cash
ORD1023,2025-02-19,CUST156,Gujarat,Corporate,Webcam,Accessories,4,4600,0.15,15640.0,13212.71,2427.29,Net Banking
ORD1024,2025-06-23,CUST114,Maharashtra,Consumer,Webcam,Accessories,1,2100,0.0,2100.0,1597.1,502.9,Credit Card
ORD1025,2025-05-08,CUST110,Punjab,Small Business,Webcam,Accessories,4,3200,0.05,12160.0,9417.08,2742.92,UPI
ORD1026,2025-05-02,CUST122,Rajasthan,Corporate,Laptop,Electronics,5,78300,0.0,391500.0,342092.41,49407.59,Net Banking
ORD1027,2025-07-19,CUST134,Punjab,Corporate,Mouse,Accessories,1,1700,0.05,1615.0,1284.85,330.15,Net Banking
ORD1028,2025-01-30,CUST175,West Bengal,Consumer,Webcam,Accessories,2,3400,0.1,6120.0,4920.07,1199.93,Debit Card
ORD1029,2025-09-29,CUST121,Delhi,Small Business,Laptop,Electronics,5,47500,0.15,201875.0,185385.39,16489.61,UPI
ORD1030,2025-05-01,CUST152,Haryana,Small Business,Keyboard,Accessories,5,1200,0.0,6000.0,4890.26,1109.74,Credit Card
ORD1031,2025-10-17,CUST167,Gujarat,Corporate,Laptop,Electronics,1,76700,0.15,65195.0,62240.1,2954.9,Credit Card
ORD1032,2025-11-27,CUST139,Punjab,Corporate,Printer,Office Equipment,3,13100,0.15,33405.0,27752.7,5652.3,UPI
ORD1033,2025-04-20,CUST165,Karnataka,Consumer,Laptop,Electronics,5,68400,0.0,342000.0,237571.03,104428.97,Debit Card
